Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
47.0,Female,68.7,1.76,161.0,137.0,66.0,1.37,845.0,Strength,27.7,2.4,3.0,2.0,22.18
36.0,Female,47.2,1.74,196.0,160.0,53.0,1.5,,Cardio,32.2,1.6,4.0,2.0,15.59
34.0,Male,92.0,1.76,175.0,143.0,73.0,0.73,574.0,Yoga,22.1,3.5,3.0,1.0,29.7
36.0,Male,56.2,1.95,183.0,,64.0,1.09,767.0,Strength,22.5,3.4,4.0,2.0,14.78
45.0,Male,58.4,1.72,194.0,150.0,65.0,1.31,973.0,HIIT,23.4,3.1,4.0,2.0,19.74
43.0,Male,,1.95,181.0,160.0,70.0,1.9,1505.0,Cardio,12.9,3.5,5.0,3.0,21.8
54.0,Female,66.9,1.74,195.0,129.0,62.0,1.24,720.0,HIIT,29.5,2.1,2.0,1.0,22.1
43.0,Male,66.3,1.85,170.0,121.0,58.0,1.18,707.0,Cardio,27.5,3.2,2.0,1.0,19.37
40.0,Male,93.6,1.93,188.0,157.0,60.0,1.38,1192.0,Cardio,22.1,2.0,3.0,1.0,25.13
26.0,Female,64.1,1.5,194.0,134.0,60.0,1.93,1293.0,Strength,15.1,2.7,5.0,3.0,28.49
29.0,Male,86.7,1.62,174.0,122.0,55.0,1.52,1020.0,Strength,13.9,3.5,4.0,3.0,33.04
18.0,Female,62.0,1.59,190.0,162.0,,1.23,996.0,Strength,33.2,2.2,4.0,2.0,24.52
18.0,Female,58.1,1.61,175.0,150.0,71.0,1.9,1425.0,Yoga,15.3,2.7,4.0,3.0,22.41
51.0,Female,64.9,1.6,169.0,125.0,55.0,1.49,838.0,Yoga,31.1,2.5,4.0,2.0,25.35
49.0,Female,69.3,1.62,191.0,122.0,62.0,1.14,626.0,HIIT,28.8,1.9,4.0,2.0,26.41
42.0,Female,42.7,1.74,161.0,130.0,71.0,1.04,608.0,Strength,32.9,1.6,3.0,1.0,14.1
57.0,Female,51.4,1.63,183.0,134.0,73.0,1.2,724.0,Yoga,33.7,2.0,4.0,2.0,19.35
18.0,Female,67.4,1.6,182.0,164.0,71.0,,492.0,Strength,33.5,2.4,3.0,1.0,26.33
33.0,Female,55.6,1.61,161.0,147.0,54.0,1.77,1301.0,Yoga,18.9,2.7,4.0,3.0,21.45
56.0,Male,125.3,1.86,197.0,129.0,64.0,1.0,639.0,Yoga,22.7,2.2,3.0,2.0,36.22
22.0,Male,102.1,1.85,190.0,157.0,,1.48,1278.0,Cardio,28.1,2.4,4.0,,29.83
39.0,Male,61.9,1.77,199.0,166.0,69.0,1.32,1205.0,Strength,25.3,2.3,3.0,1.0,19.76
46.0,Male,108.8,1.64,185.0,169.0,63.0,1.4,1171.0,Strength,20.5,3.4,3.0,1.0,40.45
20.0,Female,51.1,1.58,188.0,169.0,64.0,0.5,422.0,Yoga,29.6,1.6,2.0,1.0,20.47
29.0,Male,81.7,1.99,162.0,126.0,54.0,1.45,1005.0,Strength,29.4,3.2,2.0,1.0,20.63
43.0,Female,42.7,1.66,173.0,134.0,53.0,0.73,440.0,Yoga,33.9,1.9,2.0,1.0,15.5
33.0,Male,81.8,1.99,184.0,137.0,51.0,1.59,1198.0,Strength,10.5,3.5,4.0,3.0,20.66
54.0,Male,54.6,1.76,160.0,137.0,56.0,1.28,868.0,Cardio,27.4,3.3,4.0,2.0,17.63
39.0,Male,107.7,1.88,162.0,160.0,59.0,0.72,634.0,Strength,28.1,3.6,2.0,,30.47
46.0,Female,56.9,1.6,185.0,143.0,,0.88,566.0,Cardio,27.7,1.6,3.0,1.0,22.23
31.0,Male,78.8,1.71,177.0,121.0,59.0,1.49,992.0,HIIT,24.7,2.5,4.0,2.0,26.95
45.0,Female,48.2,1.64,168.0,159.0,67.0,1.25,894.0,Strength,32.1,2.5,4.0,2.0,17.92
,Female,50.7,1.59,197.0,139.0,66.0,1.27,883.0,Strength,29.4,1.8,3.0,2.0,20.05
47.0,Male,86.6,1.99,182.0,,70.0,1.98,1500.0,Strength,10.6,3.5,4.0,3.0,21.87
22.0,Male,96.3,1.63,180.0,162.0,62.0,1.35,1203.0,Cardio,27.1,2.4,4.0,2.0,36.25
29.0,Male,80.8,1.98,160.0,145.0,50.0,1.65,1316.0,Strength,14.6,3.5,5.0,3.0,20.61
33.0,Female,58.0,1.53,180.0,126.0,50.0,1.84,1159.0,Strength,18.3,2.7,5.0,3.0,24.78
43.0,Male,95.9,1.85,186.0,157.0,64.0,1.28,995.0,Yoga,27.7,3.4,2.0,1.0,28.02
43.0,Female,61.5,1.58,165.0,149.0,50.0,1.86,1247.0,HIIT,16.8,2.7,5.0,3.0,24.64
38.0,Female,40.6,1.79,195.0,161.0,55.0,0.62,499.0,Cardio,26.8,2.7,2.0,1.0,12.67
56.0,Male,82.5,1.87,187.0,124.0,74.0,1.51,927.0,Yoga,13.2,3.5,5.0,3.0,23.59
53.0,Male,105.1,1.84,176.0,130.0,62.0,0.69,444.0,Cardio,23.3,2.9,3.0,1.0,31.04
50.0,Female,58.1,1.58,199.0,120.0,50.0,1.93,1042.0,Yoga,19.3,2.7,5.0,3.0,23.27
47.0,Female,61.0,1.76,162.0,153.0,54.0,1.54,1060.0,HIIT,15.6,2.7,5.0,3.0,19.69
54.0,Female,64.5,1.53,171.0,120.0,58.0,1.74,940.0,Yoga,17.2,2.7,4.0,3.0,27.55
40.0,Male,58.2,1.98,198.0,138.0,74.0,1.43,1085.0,Cardio,24.0,2.5,3.0,2.0,14.85
27.0,Female,69.5,1.76,171.0,121.0,66.0,0.94,569.0,Strength,34.4,2.0,3.0,1.0,22.44
22.0,Male,62.2,1.84,161.0,140.0,65.0,0.51,393.0,Strength,21.5,2.3,3.0,1.0,18.37
53.0,Female,68.0,1.7,181.0,139.0,57.0,1.06,663.0,HIIT,25.1,2.4,4.0,2.0,23.53
51.0,Female,56.3,1.5,182.0,142.0,66.0,1.43,914.0,Cardio,27.4,2.4,3.0,1.0,25.02
48.0,Male,94.5,1.7,189.0,140.0,64.0,1.01,700.0,Cardio,28.2,3.5,3.0,2.0,32.7
27.0,Female,58.0,1.79,164.0,143.0,73.0,1.39,994.0,Cardio,27.1,1.5,2.0,1.0,18.1
36.0,Male,84.0,1.94,168.0,123.0,50.0,1.8,1218.0,HIIT,11.2,3.5,5.0,3.0,22.32
49.0,Male,61.0,1.87,180.0,131.0,61.0,1.14,739.0,Strength,21.3,3.0,4.0,2.0,17.44
18.0,Female,64.8,1.53,170.0,141.0,54.0,1.98,1396.0,Yoga,18.6,2.7,5.0,3.0,27.68
22.0,Male,45.7,1.77,164.0,139.0,73.0,1.04,795.0,HIIT,20.7,2.4,3.0,1.0,14.59
21.0,Male,80.9,1.9,194.0,137.0,55.0,1.8,1356.0,Yoga,11.7,3.5,4.0,3.0,22.41
33.0,Female,64.1,1.63,186.0,120.0,74.0,1.58,948.0,Strength,16.4,2.7,5.0,3.0,24.13
41.0,Male,67.0,1.77,161.0,149.0,50.0,1.22,900.0,HIIT,25.6,2.6,3.0,2.0,21.39
33.0,Male,106.5,1.6,183.0,152.0,74.0,1.4,1170.0,Strength,27.3,3.3,4.0,2.0,41.6
19.0,Male,95.1,1.85,190.0,143.0,50.0,1.21,952.0,Yoga,25.3,2.3,4.0,2.0,27.79
45.0,Female,65.5,1.57,192.0,133.0,59.0,0.66,395.0,Cardio,34.3,2.3,2.0,1.0,26.57
49.0,Male,105.7,1.64,198.0,155.0,59.0,1.2,921.0,Cardio,29.5,3.1,3.0,2.0,39.3
44.0,Female,48.0,1.76,189.0,124.0,52.0,0.88,491.0,Yoga,28.6,2.6,2.0,1.0,15.5
37.0,Female,69.5,1.5,196.0,130.0,66.0,0.69,448.0,Cardio,32.8,2.4,2.0,1.0,30.89
41.0,Male,66.1,1.69,187.0,143.0,68.0,0.77,545.0,Yoga,27.4,3.4,2.0,1.0,23.14
29.0,Male,68.0,1.7,190.0,150.0,60.0,0.76,627.0,HIIT,28.9,2.9,2.0,1.0,23.53
52.0,Male,50.3,1.78,170.0,132.0,67.0,0.85,555.0,HIIT,24.5,2.3,2.0,1.0,15.88
50.0,Female,69.3,1.68,182.0,135.0,51.0,1.2,729.0,HIIT,30.3,,2.0,1.0,24.55
50.0,Male,86.7,1.63,161.0,143.0,58.0,1.7,1203.0,Cardio,,3.5,4.0,,32.63
54.0,Male,125.9,1.94,199.0,132.0,73.0,1.35,882.0,Strength,28.5,2.9,3.0,2.0,33.45
29.0,Male,88.1,1.93,186.0,143.0,66.0,1.88,1479.0,Cardio,11.1,3.5,5.0,3.0,23.65
20.0,Male,124.3,1.82,194.0,145.0,63.0,1.25,997.0,Cardio,22.4,3.2,3.0,2.0,37.53
18.0,Male,62.0,1.85,161.0,121.0,53.0,0.88,586.0,,23.7,3.0,3.0,1.0,18.12
50.0,Female,69.7,1.72,198.0,135.0,66.0,1.24,753.0,Strength,27.3,2.0,4.0,2.0,23.56
57.0,Female,60.9,1.52,196.0,157.0,66.0,1.31,926.0,Strength,30.6,1.8,3.0,2.0,26.36
27.0,Male,76.5,1.97,180.0,165.0,61.0,1.13,1025.0,Strength,21.3,2.3,2.0,1.0,19.71
46.0,Male,94.7,1.82,164.0,120.0,69.0,1.47,873.0,Cardio,23.2,3.2,,2.0,28.59
30.0,Male,67.9,1.75,180.0,168.0,67.0,1.25,1155.0,Yoga,29.1,3.1,2.0,1.0,22.17
29.0,Male,121.1,1.87,188.0,130.0,52.0,1.31,937.0,HIIT,24.1,3.2,4.0,2.0,34.63
48.0,Female,71.5,1.64,179.0,154.0,,1.46,1012.0,Yoga,32.5,1.9,4.0,2.0,26.58
19.0,Male,98.6,1.7,197.0,162.0,74.0,0.83,740.0,Cardio,21.1,2.4,2.0,1.0,34.12
52.0,Female,68.2,1.63,179.0,148.0,67.0,1.17,779.0,Strength,27.5,2.4,3.0,1.0,25.67
40.0,Female,57.7,1.69,184.0,156.0,53.0,1.18,920.0,HIIT,33.1,2.4,4.0,2.0,20.2
34.0,Male,124.6,1.63,161.0,136.0,66.0,1.41,1055.0,HIIT,27.6,2.8,3.0,2.0,46.9
43.0,Female,73.0,1.59,191.0,158.0,67.0,1.31,931.0,Yoga,28.9,2.2,3.0,1.0,28.88
25.0,Female,59.4,1.51,185.0,161.0,54.0,1.62,1304.0,Cardio,19.8,2.7,5.0,3.0,26.05
46.0,Female,52.0,1.65,165.0,147.0,63.0,0.7,463.0,Cardio,34.1,1.9,2.0,1.0,19.1
43.0,Female,42.2,1.65,162.0,148.0,59.0,1.33,886.0,Cardio,34.6,2.3,3.0,2.0,15.5
27.0,Male,89.3,1.64,192.0,162.0,64.0,1.82,1622.0,HIIT,12.1,3.5,4.0,3.0,33.2
43.0,Male,110.0,1.76,160.0,122.0,50.0,1.09,658.0,Yoga,22.0,3.4,3.0,1.0,35.51
51.0,Female,66.2,1.58,164.0,129.0,65.0,0.86,499.0,HIIT,31.3,2.3,3.0,1.0,26.52
58.0,Male,58.6,1.66,172.0,161.0,60.0,1.21,964.0,HIIT,26.8,2.9,2.0,1.0,21.27
24.0,Male,51.0,1.67,178.0,133.0,72.0,0.97,710.0,Strength,21.3,2.8,3.0,1.0,18.29
21.0,Male,101.5,1.95,171.0,131.0,69.0,0.97,699.0,Yoga,27.9,3.1,3.0,1.0,26.69
28.0,Male,114.2,1.87,184.0,166.0,55.0,1.05,959.0,Strength,20.2,3.2,3.0,2.0,32.66
46.0,Male,54.4,1.72,194.0,161.0,73.0,0.91,725.0,Cardio,24.8,2.9,2.0,1.0,18.39
53.0,Female,52.4,1.57,171.0,149.0,71.0,1.34,898.0,HIIT,28.3,2.2,3.0,2.0,21.26
42.0,Male,85.2,1.81,189.0,151.0,65.0,1.54,1151.0,Yoga,13.7,3.5,5.0,3.0,26.01
38.0,Male,83.6,1.74,164.0,151.0,51.0,1.66,1379.0,Cardio,11.6,3.5,5.0,3.0,27.61
53.0,Male,115.4,1.92,193.0,161.0,50.0,1.36,1084.0,Yoga,28.3,2.2,4.0,2.0,31.3
27.0,Male,71.2,1.97,181.0,151.0,73.0,0.74,615.0,HIIT,25.9,3.6,3.0,1.0,18.35
54.0,Female,78.1,1.6,198.0,145.0,73.0,1.1,718.0,Yoga,32.9,2.4,4.0,2.0,30.51
26.0,Female,54.2,1.65,172.0,120.0,,1.07,642.0,Cardio,34.9,1.9,4.0,2.0,19.91
41.0,Female,77.6,1.76,162.0,161.0,71.0,1.27,920.0,Strength,31.8,2.2,4.0,2.0,25.05
52.0,Female,44.1,1.62,179.0,121.0,61.0,1.41,768.0,HIIT,34.8,1.6,3.0,,16.8
52.0,Male,85.5,1.8,190.0,136.0,66.0,1.7,1144.0,Strength,10.1,3.5,5.0,3.0,26.39
53.0,Female,47.8,1.76,164.0,149.0,74.0,1.06,711.0,HIIT,28.4,1.5,4.0,2.0,15.43
35.0,Male,102.5,1.94,183.0,158.0,64.0,0.84,730.0,Cardio,21.1,2.4,2.0,1.0,27.23
56.0,Male,118.0,1.9,199.0,126.0,68.0,0.66,412.0,HIIT,22.6,3.2,2.0,1.0,32.69
49.0,Male,82.3,1.84,192.0,146.0,71.0,1.29,932.0,,28.4,3.4,4.0,2.0,24.31
41.0,Male,81.6,1.87,167.0,128.0,59.0,1.87,1185.0,HIIT,10.2,3.5,5.0,3.0,23.33
,Male,60.2,1.88,183.0,141.0,61.0,1.22,946.0,Cardio,25.2,3.0,3.0,2.0,17.03
49.0,Female,49.2,1.54,179.0,153.0,63.0,1.28,881.0,HIIT,30.7,2.1,3.0,2.0,20.75
54.0,Female,46.6,1.5,175.0,165.0,58.0,1.38,1025.0,Strength,30.6,2.0,2.0,1.0,20.71
29.0,Female,68.7,1.72,171.0,168.0,62.0,1.08,907.0,Cardio,29.8,1.7,4.0,2.0,23.22
30.0,Female,60.6,1.55,172.0,120.0,52.0,1.3,780.0,Strength,32.9,1.6,3.0,2.0,
40.0,Male,52.1,1.61,198.0,128.0,70.0,0.87,612.0,HIIT,21.3,3.3,2.0,1.0,20.1
42.0,Female,46.6,1.77,184.0,139.0,63.0,0.61,382.0,Yoga,28.1,2.6,2.0,1.0,14.87
52.0,Male,65.5,1.74,191.0,138.0,70.0,1.48,1011.0,Strength,26.2,2.8,4.0,2.0,21.63
58.0,Female,44.2,1.57,183.0,155.0,59.0,1.08,753.0,HIIT,31.9,2.3,3.0,1.0,17.93
47.0,Male,89.1,1.84,168.0,159.0,65.0,1.44,1133.0,Yoga,24.0,3.6,3.0,2.0,26.32
34.0,Male,65.9,1.62,199.0,164.0,56.0,,731.0,Yoga,28.8,2.2,2.0,1.0,25.11
37.0,Female,55.6,1.57,182.0,123.0,,0.97,597.0,Cardio,29.2,2.4,2.0,1.0,22.56
42.0,Male,,1.98,172.0,128.0,69.0,1.37,868.0,Yoga,24.0,3.0,2.0,1.0,16.25
39.0,Male,86.2,1.82,191.0,160.0,72.0,1.96,1725.0,Strength,10.2,3.5,5.0,3.0,26.02
30.0,Female,59.2,1.63,174.0,141.0,74.0,1.85,1304.0,Strength,17.8,2.7,4.0,3.0,22.28
36.0,Male,85.4,1.88,195.0,137.0,60.0,1.98,1492.0,Yoga,13.5,3.5,5.0,3.0,24.16
53.0,Female,68.1,1.55,164.0,131.0,65.0,1.41,831.0,HIIT,26.1,2.2,4.0,2.0,28.35
29.0,Female,60.0,1.62,181.0,161.0,69.0,0.85,684.0,Strength,28.1,1.9,2.0,1.0,22.86
58.0,Female,74.8,1.69,175.0,162.0,53.0,1.28,933.0,Strength,32.8,2.3,4.0,2.0,26.19
36.0,Male,90.3,1.65,169.0,158.0,71.0,1.38,1199.0,Cardio,23.7,3.4,4.0,2.0,33.17
29.0,Male,86.1,1.65,183.0,128.0,71.0,1.66,1169.0,HIIT,11.2,3.5,4.0,3.0,31.63
26.0,Male,73.7,1.66,177.0,125.0,72.0,0.93,639.0,Yoga,26.7,2.2,2.0,1.0,26.75
24.0,Female,67.7,1.56,177.0,138.0,66.0,1.42,980.0,HIIT,27.0,2.1,3.0,2.0,27.82
45.0,Male,78.3,1.96,166.0,167.0,62.0,1.29,1066.0,Cardio,29.0,2.2,3.0,1.0,20.38
31.0,Female,48.2,1.65,163.0,166.0,60.0,1.1,913.0,Cardio,26.1,2.5,2.0,1.0,17.7
48.0,Female,56.8,1.51,185.0,126.0,52.0,1.37,777.0,HIIT,32.1,2.1,4.0,2.0,24.91
36.0,Male,112.4,1.63,164.0,135.0,58.0,1.02,757.0,Cardio,25.0,3.4,4.0,2.0,42.3
33.0,Female,59.0,1.67,175.0,124.0,55.0,0.9,558.0,Cardio,33.7,1.9,3.0,1.0,21.16
22.0,Male,98.4,1.88,194.0,135.0,71.0,0.52,386.0,Cardio,21.3,2.2,2.0,1.0,27.84
52.0,Male,66.5,1.6,185.0,120.0,70.0,1.34,796.0,HIIT,26.8,2.1,4.0,2.0,25.98
29.0,Male,106.5,1.81,177.0,156.0,60.0,1.29,1107.0,Cardio,25.7,2.5,4.0,2.0,32.51
42.0,Male,88.4,1.93,188.0,158.0,65.0,1.68,1314.0,Yoga,12.4,3.5,4.0,3.0,23.73
38.0,Male,88.4,1.79,182.0,138.0,68.0,1.74,1321.0,Yoga,12.5,3.5,5.0,3.0,27.59
53.0,Female,53.3,1.74,173.0,156.0,54.0,1.37,962.0,Strength,32.2,1.8,3.0,2.0,17.6
40.0,Female,58.1,1.56,174.0,136.0,63.0,0.61,415.0,Yoga,34.4,2.2,2.0,1.0,23.87
33.0,Female,74.2,1.76,192.0,145.0,66.0,1.15,834.0,Strength,25.9,1.5,4.0,2.0,23.95
56.0,Male,84.6,1.63,184.0,141.0,52.0,1.01,705.0,HIIT,20.2,2.9,4.0,2.0,31.84
59.0,Male,78.0,1.92,180.0,127.0,53.0,0.72,453.0,Cardio,28.1,2.7,3.0,1.0,21.16
56.0,Male,89.0,1.68,176.0,152.0,65.0,1.77,1332.0,Yoga,10.5,3.5,5.0,3.0,31.53
31.0,Female,42.7,1.76,182.0,121.0,65.0,1.46,883.0,Strength,34.9,2.2,3.0,1.0,13.78
48.0,Male,83.9,1.82,176.0,149.0,70.0,1.9,1401.0,HIIT,13.1,3.5,5.0,3.0,25.33
22.0,Female,78.7,1.52,173.0,166.0,74.0,1.45,1204.0,Strength,31.5,2.3,3.0,2.0,34.06
52.0,Female,65.9,1.52,188.0,139.0,53.0,1.27,794.0,Cardio,27.0,2.3,4.0,2.0,28.52
40.0,Male,76.9,1.92,179.0,137.0,68.0,1.13,851.0,Yoga,22.4,3.7,4.0,2.0,20.86
46.0,Male,84.3,2.0,189.0,162.0,66.0,1.83,1467.0,HIIT,13.3,3.5,5.0,3.0,21.07
28.0,Female,62.4,1.6,178.0,129.0,62.0,1.1,710.0,Strength,34.1,1.7,3.0,2.0,24.37
35.0,Male,63.7,1.74,198.0,143.0,71.0,1.03,810.0,HIIT,29.8,2.7,4.0,2.0,21.04
29.0,Female,54.9,1.52,172.0,123.0,72.0,1.48,910.0,Strength,27.0,2.0,3.0,1.0,23.76
,Male,76.4,1.79,177.0,156.0,73.0,1.17,1004.0,Strength,21.3,2.7,3.0,2.0,23.84
27.0,Male,106.4,1.86,182.0,123.0,50.0,1.34,907.0,Cardio,20.6,3.1,2.0,1.0,30.76
34.0,Female,68.4,1.5,192.0,132.0,61.0,1.37,904.0,Cardio,33.7,2.1,4.0,2.0,30.4
55.0,Male,63.5,1.86,198.0,144.0,53.0,1.36,969.0,Strength,22.9,2.9,4.0,2.0,18.35
24.0,Female,59.4,1.5,199.0,132.0,60.0,1.25,825.0,Yoga,25.0,2.0,3.0,2.0,26.4
30.0,Male,113.4,1.91,177.0,137.0,54.0,1.27,957.0,HIIT,22.2,3.7,3.0,1.0,31.08
57.0,Female,61.9,1.52,168.0,143.0,51.0,0.92,592.0,HIIT,28.4,2.6,3.0,1.0,26.79
59.0,Female,70.7,1.68,192.0,121.0,66.0,1.17,637.0,Cardio,34.9,1.9,3.0,2.0,25.05
26.0,Male,111.5,1.9,191.0,167.0,57.0,1.02,937.0,Yoga,25.2,2.2,2.0,1.0,30.89
44.0,Female,72.1,,176.0,152.0,55.0,1.4,958.0,Strength,27.0,2.5,2.0,1.0,26.16
19.0,Male,56.9,1.87,178.0,138.0,70.0,0.61,463.0,Cardio,23.3,3.7,3.0,,16.27
22.0,Male,86.2,1.9,186.0,128.0,58.0,1.91,1345.0,Strength,11.7,3.5,5.0,3.0,23.88
46.0,Male,59.4,1.68,165.0,147.0,62.0,1.16,844.0,Strength,20.2,2.5,4.0,2.0,21.05
54.0,Female,75.6,1.72,194.0,154.0,60.0,0.97,672.0,Cardio,26.4,1.9,3.0,1.0,25.55
55.0,Female,76.3,1.73,196.0,158.0,65.0,1.08,768.0,Yoga,,2.6,3.0,1.0,25.49
36.0,Male,95.8,1.86,193.0,129.0,65.0,1.37,972.0,HIIT,21.2,3.2,3.0,1.0,27.69
25.0,Male,120.6,1.83,179.0,120.0,51.0,1.04,686.0,Cardio,22.3,,3.0,2.0,36.01
18.0,Female,65.3,1.55,184.0,161.0,59.0,1.42,1143.0,Yoga,28.5,,3.0,2.0,27.18
39.0,,85.3,1.89,163.0,140.0,61.0,0.77,593.0,Strength,27.6,3.6,2.0,1.0,23.88
34.0,Male,68.0,1.68,169.0,128.0,,0.67,472.0,Cardio,25.8,3.4,2.0,1.0,24.09
24.0,Female,52.6,,169.0,166.0,60.0,1.29,1071.0,HIIT,31.9,2.4,2.0,1.0,21.34
42.0,Male,63.3,1.77,183.0,134.0,59.0,1.32,876.0,HIIT,25.7,3.3,3.0,2.0,20.2
21.0,Female,76.3,1.65,180.0,154.0,62.0,1.14,878.0,Strength,31.8,1.7,3.0,2.0,28.03
53.0,Male,61.0,1.63,170.0,124.0,74.0,0.54,331.0,Cardio,20.0,3.4,3.0,1.0,22.96
23.0,Female,67.8,1.61,186.0,160.0,66.0,1.34,1072.0,HIIT,34.3,1.8,2.0,1.0,26.16
,Male,114.9,1.86,175.0,141.0,56.0,1.36,949.0,Cardio,21.1,3.6,3.0,1.0,33.21
36.0,Male,88.0,1.71,185.0,160.0,73.0,1.87,1646.0,HIIT,12.0,3.5,5.0,3.0,30.09
56.0,Female,67.7,1.58,189.0,142.0,52.0,1.45,927.0,Strength,32.7,1.9,2.0,1.0,27.12
44.0,Male,124.8,1.85,175.0,126.0,69.0,1.35,842.0,Strength,24.4,3.5,4.0,2.0,36.46
27.0,Female,53.0,1.58,166.0,142.0,62.0,1.26,895.0,Cardio,34.5,1.8,4.0,2.0,21.23
43.0,Male,61.2,1.88,175.0,163.0,68.0,1.03,831.0,Yoga,24.7,2.9,3.0,1.0,17.32
36.0,Female,48.7,1.68,194.0,144.0,56.0,1.23,886.0,,33.7,1.6,3.0,1.0,17.25
56.0,Female,50.6,1.7,175.0,146.0,58.0,1.29,848.0,Strength,33.1,2.3,2.0,1.0,17.51
20.0,Female,72.6,1.73,199.0,160.0,68.0,1.27,1016.0,HIIT,34.8,2.5,3.0,2.0,24.26
30.0,Female,70.4,1.56,171.0,125.0,62.0,1.03,644.0,Yoga,34.3,2.4,4.0,2.0,28.93
